Date,Creative,"Creative ID","Total Ads Requested"
2024-08-07,C00KXJG-3566402-WDW_FY24_PORT_WDW_Brand-TMMPOE_V2-LATAM-NOOFF_300x250.zip,4727923,1205
2024-08-07,C00KXJG-3566402-WDW_FY24_PORT_WDW_Brand-TMMPOE_V2-LATAM-NOOFF_300x600.zip,4727924,11143
2024-08-07,C00KXJG-3566402-WDW_FY24_PORT_WDW_Brand-TMMPOE_V2-LATAM-NOOFF_320x50.jpg,4569694,908
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_160x600.zip,3189654,7981
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_300x250.zip,3189655,52031
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_300x600.zip,3189656,6236
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_320x50_v1,3588465,45657
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_728x90.zip,3189657,14407
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_AUL_160x600.zip,3589130,1096
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_AUL_300x250.zip,3589133,5225
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_AUL_300x600.zip,3589136,514
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_AUL_320x50,3589207,2327
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_AUL_728x90.zip,3589140,3011
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_DLR_160x600.zip,3589107,1156
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_DLR_300x250.zip,3589111,5162
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_DLR_300x600.zip,3589114,490
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_DLR_320x50,3589212,2241
2024-08-07,C0AWIU5-1628301-DVC_FY20_ENG_DVCMKTGSales_PostTrip_DLR_728x90.zip,3589123,2938
2024-08-07,C0DXIQ6-3968651-DLR_FY24_ENG_Simba-Maximize-v1-DOM-NOOFF_160x600.zip,4791792,4234
2024-08-07,C0DXIQ6-3968651-DLR_FY24_ENG_Simba-Maximize-v1-DOM-NOOFF_300x250.zip,4791793,24441
2024-08-07,C0DXIQ6-3968651-DLR_FY24_ENG_Simba-Maximize-v1-DOM-NOOFF_300x600.zip,4791795,4129
